TYPE MOTOR,COLOR,JENIS KELAMIN,STATUS RUMAH,JENIS PENJUALAN STNK,PEKERJAAN,PENGELUARAN,MERK MOTOR SBLMNYA,TYPE MOTOR SBLMNYA,SMH DIGUNAKAN UNTUK,YG MENGGUNAKAN SMH,HOBI,TAHUN LAHIR
REVO FIT FI,HITAM,LAKI-LAKI,RUMAH SENDIRI,CASH,DOKTER,2000001,HONDA,AT AUTOMATIC,BERDAGANG,SAYA SENDIRI,Adventure (Petualangan),1970
REVO FIT FI,HITAM,LAKI-LAKI,RUMAH SENDIRI,CASH,"PEGAWAI SWASTA,",3000001,HONDA,SPORT,BERDAGANG,SAYA SENDIRI,Adventure (Petualangan),1972
REVO FIT FI,HITAM,LAKI-LAKI,RUMAH ORANG TUA / KELUARGA,CASH,MAHASISWA  ,1000001,HONDA,SPORT,BERDAGANG,SAYA SENDIRI,Adventure (Petualangan),1998
REVO FIT FI,HITAM,LAKI-LAKI,RUMAH SENDIRI,CREDIT,"PEGAWAI SWASTA,",1000001,HONDA,AT AUTOMATIC,PEMAKAIAN JARAK DEKAT,SAYA SENDIRI,Makan,1983
REVO FIT FI,HITAM,LAKI-LAKI,RUMAH SENDIRI,CASH,MAHASISWA  ,1000001,HONDA,SPORT,BERDAGANG,SAYA SENDIRI,Adventure (Petualangan),1996
REVO FIT FI,HITAM,PEREMPUAN,RUMAH SENDIRI,CREDIT,WIRASWASTA  ,700001,HONDA,SPORT,BERDAGANG,SAYA SENDIRI,Adventure (Petualangan),1997
REVO FIT FI,HITAM,LAKI-LAKI,RUMAH SENDIRI,CREDIT,WIRASWASTA  ,1500001,HONDA,CUB BEBEK,BERDAGANG,SAYA SENDIRI,Membaca,1978
REVO FIT FI,HITAM,LAKI-LAKI,RUMAH SENDIRI,CREDIT,TNI POLRI,1500001,HONDA,AT AUTOMATIC,BERDAGANG,SAYA SENDIRI,Memancing,1965
REVO FIT FI,HITAM,PEREMPUAN,RUMAH SENDIRI,CASH,"PEGAWAI SWASTA,",1500001,HONDA,CUB BEBEK,BERDAGANG,SAYA SENDIRI,Melukis,1978
REVO FIT FI,HITAM,LAKI-LAKI,RUMAH SENDIRI,CREDIT,"PEGAWAI SWASTA,",1000001,HONDA,CUB BEBEK,BERDAGANG,SAYA SENDIRI,Memancing,1979
REVO FIT FI,HITAM,LAKI-LAKI,RUMAH SENDIRI,CREDIT,TNI POLRI,1500001,HONDA,CUB BEBEK,BERDAGANG,SAYA SENDIRI,Volley,1979
REVO FIT FI,HITAM,PEREMPUAN,RUMAH SENDIRI,CASH,IBU RUMAH,2000001,HONDA,CUB BEBEK,BERDAGANG,SAYA SENDIRI,Melukis,1984
REVO FIT FI,HITAM,LAKI-LAKI,RUMAH SENDIRI,CASH,PEGAWAI NEGERI,3000001,HONDA,SPORT,BERDAGANG,SAYA SENDIRI,Adventure (Petualangan),1967
REVO FIT FI,HITAM,LAKI-LAKI,RUMAH SENDIRI,CREDIT,"PEGAWAI SWASTA,",2000001,HONDA,CUB BEBEK,BERDAGANG,SAYA SENDIRI,Makan,1967
REVO FIT FI,HITAM,PEREMPUAN,RUMAH ORANG TUA / KELUARGA,CASH,MAHASISWA  ,1000001,HONDA,CUB BEBEK,BERDAGANG,SAYA SENDIRI,Massage,1984
